Date,Price_Baoshan Iron & Steel Stock Price History,Price_Beijing Tongrentang Stock Price History,Price_China Shenhua Energy SH Stock Price History,Price_Huaneng Power International Stock Price History,Price_SAIC Motor Corp Stock Price History
2015-06-02,9.03,42.47,22.76,12.06,24.83
2015-06-03,8.84,42.98,22.23,11.79,25.12
2015-06-04,8.98,42.34,23.09,11.88,24.86
2015-06-05,9.53,42.71,23.09,12.17,25.23
2015-06-08,9.7,42.44,23.89,12.56,26.61
2015-06-09,9.53,41.28,26.29,12.48,26.11
2015-06-10,9.37,41.1,25.28,12.15,26.19
2015-06-11,9.46,41.62,24.57,11.93,26.02
2015-06-12,9.57,42.13,25.35,12.73,26.09
2015-06-15,9.7,43.08,23.36,12.79,25.37
2015-06-16,9.06,40.33,22.97,12.03,24.57
2015-06-17,9.24,40.69,23.74,13.09,24.75
2015-06-18,9.02,39.49,22.28,12.37,23.58
2015-06-19,8.27,37.1,20.89,11.96,22.5
2015-06-23,8.5,39.31,21.66,12.26,23.31
2015-06-24,8.91,40.45,22.88,13.52,23.48
2015-06-25,8.98,39.21,21.54,14.08,22.6
2015-06-26,8.16,35.26,19.8,12.67,21.0
2015-06-29,8.15,32.68,19.79,13.56,20.93
2015-06-30,8.74,35.93,20.86,14.01,22.59
2015-07-01,8.37,33.08,19.74,12.63,21.56
2015-07-02,7.64,29.73,18.61,11.37,21.14
2015-07-03,6.88,26.83,17.1,10.23,20.26
2015-07-06,7.19,27.71,18.3,10.54,21.92
2015-07-07,7.54,25.1,20.08,11.2,23.08
2015-07-08,6.75,22.55,18.78,10.05,22.98
2015-07-09,7.43,24.81,20.72,11.06,25.24
2015-07-10,8.16,27.29,21.93,12.17,26.1
2015-07-13,8.2,30.02,21.57,12.46,24.84
2015-07-14,7.59,29.6,20.11,11.41,23.24
2015-07-15,7.09,26.65,19.98,10.26,23.71
2015-07-16,7.23,28.35,20.12,10.5,23.78
2015-07-17,7.45,30.21,20.53,10.9,24.38
2015-07-20,7.34,30.08,19.95,10.81,24.1
2015-07-21,7.34,30.0,19.82,10.83,24.48
2015-07-22,7.38,29.75,19.62,11.12,21.92
2015-07-23,7.61,31.18,19.83,11.2,22.0
2015-07-24,7.43,30.69,19.77,10.96,21.31
