Date,Price_Baoshan Iron & Steel Stock Price History,Price_Beijing Tongrentang Stock Price History,Price_China Shenhua Energy SH Stock Price History,Price_Huaneng Power International Stock Price History,Price_SAIC Motor Corp Stock Price History
2017-09-29,7.39,32.41,20.94,6.94,30.19
2017-10-09,7.46,32.43,20.69,6.96,31.27
2017-10-10,7.34,32.87,20.48,6.98,30.49
2017-10-11,7.28,32.73,20.57,6.98,31.74
2017-10-12,7.37,32.49,20.26,6.91,32.11
2017-10-13,7.53,32.58,20.43,6.92,31.97
2017-10-16,7.61,32.87,20.45,6.86,32.01
2017-10-17,7.48,32.9,20.25,6.86,31.51
2017-10-18,7.4,33.67,20.54,6.86,32.67
2017-10-19,7.45,33.56,20.69,6.74,32.98
2017-10-20,7.55,33.35,20.51,6.79,32.57
2017-10-23,7.52,33.96,20.36,6.84,32.39
2017-10-24,7.65,34.14,20.58,6.82,32.8
2017-10-25,7.71,34.07,20.71,6.86,32.86
2017-10-26,7.86,33.55,20.64,6.87,32.29
2017-10-27,7.7,34.19,20.71,6.86,32.43
2017-10-30,7.71,34.38,20.6,6.79,32.84
2017-10-31,7.67,33.67,20.77,6.73,31.49
2017-11-01,7.85,33.32,20.42,6.74,30.73
2017-11-02,7.88,33.08,20.47,6.74,30.76
2017-11-03,7.87,33.16,20.56,6.67,30.89
2017-11-06,8.11,34.75,20.39,6.6,30.92
2017-11-07,8.22,34.61,20.44,6.59,31.36
2017-11-08,8.22,34.61,20.53,6.91,31.37
2017-11-09,8.29,34.12,22.05,6.86,31.44
2017-11-10,8.34,34.25,21.6,6.74,32.45
2017-11-13,8.66,34.6,22.34,6.69,32.5
2017-11-14,8.83,33.73,23.53,6.72,32.71
2017-11-15,8.75,33.71,23.91,6.66,32.51
2017-11-16,8.63,34.2,23.57,6.64,32.22
2017-11-17,8.84,34.42,23.37,6.55,33.22
2017-11-20,8.67,34.67,23.69,6.58,33.1
2017-11-21,8.93,35.49,23.19,6.52,33.14
2017-11-22,9.09,35.27,24.4,6.46,34.18
2017-11-23,8.88,33.75,23.61,6.47,32.33
2017-11-24,8.9,33.26,23.05,6.4,31.9
2017-11-27,8.91,33.32,23.08,6.39,31.75
2017-11-28,9.12,33.37,23.33,6.33,31.6
2017-11-29,9.42,32.38,23.91,6.35,31.02
2017-11-30,9.38,32.28,23.8,6.33,30.88
2017-12-01,9.11,32.39,23.0,6.34,30.92
2017-12-04,9.0,32.44,22.81,6.42,30.98
2017-12-05,9.0,33.11,23.32,6.44,31.86
2017-12-06,8.5,33.12,22.73,6.49,31.47
2017-12-07,8.26,32.81,22.02,6.56,31.39
2017-12-08,8.4,32.72,21.87,6.53,31.24
2017-12-11,8.52,33.03,22.4,6.53,32.02
2017-12-12,8.36,32.43,21.81,6.47,31.39
2017-12-13,8.47,32.58,22.18,6.45,31.71
2017-12-14,8.47,32.28,22.08,6.44,31.11
2017-12-15,8.22,32.17,21.8,6.56,31.11
2017-12-18,8.4,32.12,22.48,6.59,31.2
2017-12-19,8.5,32.33,22.46,6.56,31.36
2017-12-20,8.24,32.44,22.56,6.56,31.51
2017-12-21,8.41,32.63,22.7,6.47,31.61
2017-12-22,8.43,32.21,23.13,6.41,31.59
2017-12-25,8.33,32.27,23.11,6.39,31.89
2017-12-26,8.35,32.34,22.9,6.35,31.71
2017-12-27,8.37,31.99,23.1,6.27,31.16
2017-12-28,8.65,31.92,23.37,6.2,31.2
2017-12-29,8.64,32.24,23.17,6.17,32.04
2018-01-02,8.96,32.47,23.81,6.27,31.77
2018-01-03,8.93,32.6,23.31,6.32,31.53
2018-01-04,8.94,32.52,23.09,6.29,31.63
2018-01-05,8.87,33.13,23.66,6.31,31.92
2018-01-08,9.29,33.43,25.08,6.33,32.41
2018-01-09,9.1,33.48,24.79,6.28,32.44
2018-01-10,9.05,33.3,24.91,6.2,33.87
2018-01-11,8.83,33.47,24.28,6.2,33.83
2018-01-12,9.09,33.18,24.36,6.27,33.91
2018-01-15,8.82,32.48,23.52,6.14,33.5
2018-01-16,8.87,33.5,23.23,6.13,32.32
2018-01-17,8.95,33.85,23.53,6.16,32.53
2018-01-18,9.22,34.12,23.52,6.13,32.53
2018-01-19,9.31,33.91,24.16,6.32,32.83
2018-01-22,9.32,34.53,24.44,6.3,33.75
2018-01-23,9.24,34.68,24.97,6.3,33.97
2018-01-24,9.3,34.65,24.79,6.35,33.96
2018-01-25,9.74,34.2,25.15,6.36,34.88
2018-01-26,9.71,35.07,25.3,6.34,34.98
2018-01-29,10.01,33.91,26.13,6.48,34.46
2018-01-30,9.77,33.91,25.9,6.6,34.42
2018-01-31,9.98,33.9,26.39,6.31,34.39
2018-02-01,10.28,33.63,26.83,6.09,34.87
2018-02-02,11.1,33.55,28.65,6.09,34.7
2018-02-05,11.23,32.75,28.69,6.09,34.15
2018-02-06,11.07,32.75,27.9,6.03,34.15
2018-02-07,10.65,32.56,26.9,6.09,34.03
2018-02-08,10.14,32.67,25.45,6.06,32.83
2018-02-09,10.0,31.94,24.29,5.82,32.01
2018-02-12,9.99,31.98,23.91,5.92,32.32
2018-02-13,9.99,32.11,24.45,6.07,32.92
2018-02-14,10.28,31.99,24.69,6.02,33.21
2018-02-22,10.42,32.72,25.37,6.03,34.02
2018-02-23,10.5,32.78,25.62,6.04,34.07
2018-02-26,10.62,32.89,25.83,6.1,34.48
2018-02-27,10.14,32.8,24.51,6.19,34.39
2018-02-28,10.04,32.4,24.16,6.19,33.64
2018-03-01,10.0,32.36,23.84,6.26,33.93
2018-03-02,9.61,32.04,23.36,6.5,35.02
2018-03-05,9.51,32.15,23.48,6.49,35.19
2018-03-06,9.64,32.67,23.93,6.63,35.08
2018-03-07,9.42,32.67,23.53,6.62,35.96
2018-03-08,9.38,33.6,23.3,7.02,35.83
2018-03-09,9.1,33.64,23.21,7.0,36.27
2018-03-12,9.21,33.66,23.25,6.99,37.14
2018-03-13,9.23,33.31,23.37,6.94,36.92
2018-03-14,9.53,32.89,23.49,6.99,36.87
2018-03-15,9.54,33.09,23.58,6.97,36.77
2018-03-16,9.41,33.5,23.22,6.71,36.83
2018-03-19,9.12,34.1,21.98,6.88,37.32
2018-03-20,9.17,34.31,22.23,6.97,36.93
2018-03-21,9.16,33.95,22.23,6.85,36.18
2018-03-22,9.05,33.83,22.22,6.73,35.95
2018-03-23,8.68,33.39,22.18,6.89,35.55
2018-03-26,8.33,34.03,21.06,6.78,34.09
2018-03-27,8.4,34.22,21.24,6.69,33.55
2018-03-28,8.35,33.79,20.74,6.88,32.54
2018-03-29,8.64,33.68,21.13,6.82,32.94
2018-03-30,8.52,34.66,20.85,6.87,34.01
2018-04-02,8.56,34.09,20.84,6.7,33.99
2018-04-03,8.37,35.58,20.29,6.39,33.11
2018-04-04,8.23,37.41,20.16,6.33,33.9
2018-04-09,8.56,37.16,20.29,6.3,34.05
2018-04-10,8.88,37.36,20.99,6.22,33.97
2018-04-11,8.78,37.5,20.97,6.38,33.05
2018-04-12,8.72,37.53,20.65,6.29,32.95
2018-04-13,8.75,36.73,20.59,6.34,32.96
2018-04-16,8.5,37.11,19.91,6.29,32.48
2018-04-17,8.45,36.99,19.56,6.34,31.37
2018-04-18,8.74,35.43,19.82,6.22,31.35
2018-04-19,9.12,35.06,20.62,6.21,31.95
2018-04-20,9.09,35.06,20.55,6.09,31.89
2018-04-23,9.13,33.4,20.59,5.99,31.43
2018-04-24,9.25,33.7,21.13,6.05,31.96
2018-04-25,9.21,34.32,20.71,6.18,31.91
2018-04-26,9.19,34.33,20.69,6.14,31.57
2018-04-27,9.24,35.47,20.94,6.26,31.93
2018-05-02,8.79,35.31,20.26,6.29,32.75
2018-05-03,8.94,35.38,20.45,6.36,33.12
2018-05-04,9.0,36.14,20.31,6.53,32.67
2018-05-07,9.05,37.16,20.88,6.53,33.1
2018-05-08,9.07,38.2,21.14,6.44,34.06
2018-05-09,8.9,38.43,21.21,6.36,34.39
2018-05-10,8.93,38.83,21.5,6.41,34.8
2018-05-11,9.01,38.31,21.42,6.31,34.61
2018-05-14,9.14,37.92,21.5,6.27,35.2
2018-05-15,8.98,40.71,21.25,6.48,35.01
2018-05-16,8.86,40.78,21.16,6.62,34.48
2018-05-17,8.71,39.91,21.28,6.43,34.49
2018-05-18,8.78,40.82,22.32,6.38,34.95
2018-05-21,8.78,40.41,22.07,6.5,34.5
2018-05-22,8.63,40.8,21.87,6.42,34.77
2018-05-23,8.45,40.33,20.34,6.89,34.86
2018-05-24,8.46,39.92,20.41,6.88,34.12
2018-05-25,8.46,41.11,20.52,6.89,34.62
2018-05-28,8.42,42.47,20.53,6.7,35.32
2018-05-29,8.57,40.0,20.68,6.94,35.67
2018-05-30,8.25,39.28,20.05,6.86,35.25
2018-05-31,8.42,40.52,20.4,7.03,36.25
2018-06-01,8.53,38.71,20.67,6.97,35.67
2018-06-04,8.77,38.41,20.94,6.95,36.2
2018-06-05,8.78,39.47,20.8,6.86,36.24
2018-06-06,8.9,39.35,21.01,6.77,35.99
2018-06-07,9.19,38.3,21.29,6.59,35.59
2018-06-08,8.71,38.42,20.9,6.45,36.04
2018-06-11,8.82,37.41,20.67,6.5,36.39
2018-06-12,8.93,38.33,21.13,6.62,36.72
2018-06-13,8.92,38.2,20.93,6.59,36.65
2018-06-14,8.91,37.64,20.97,6.52,36.72
2018-06-15,8.97,36.69,21.19,6.57,36.53
2018-06-19,8.58,36.81,21.41,6.27,36.8
2018-06-20,8.66,37.33,21.02,6.23,35.93
2018-06-21,8.69,37.2,21.19,6.08,35.82
2018-06-22,8.69,37.32,21.03,6.09,35.26
2018-06-25,8.46,37.16,20.45,6.15,35.15
2018-06-26,8.09,36.62,20.02,6.22,35.15
2018-06-27,7.73,35.21,19.94,6.25,35.24
2018-06-28,7.66,34.45,19.68,6.26,33.95
2018-06-29,7.79,35.28,19.94,6.36,34.99
2018-07-02,7.34,35.11,19.05,6.51,33.44
2018-07-03,7.25,34.46,18.78,6.84,32.83
2018-07-04,7.27,33.86,18.83,6.73,32.83
2018-07-05,7.08,33.93,19.12,6.73,33.33
2018-07-06,7.2,33.95,19.3,6.7,33.72
2018-07-09,7.49,35.13,18.56,6.86,34.48
2018-07-10,7.61,35.2,18.25,6.99,34.64
2018-07-11,7.42,34.82,17.54,6.98,34.68
2018-07-12,7.61,35.57,17.81,7.04,34.39
2018-07-13,7.64,36.28,17.55,6.97,35.03
2018-07-16,7.51,36.35,17.68,6.92,35.05
2018-07-17,7.35,35.75,17.34,6.94,32.68
2018-07-18,7.38,35.76,17.21,7.38,32.61
2018-07-19,7.73,35.45,17.19,7.5,31.8
2018-07-20,7.9,36.04,17.33,7.84,32.4
2018-07-23,8.18,35.01,17.93,7.89,32.6
2018-07-24,8.54,34.76,18.64,7.54,32.57
2018-07-25,8.62,35.0,18.46,7.58,32.74
2018-07-26,8.39,34.8,18.3,7.54,32.14
2018-07-27,8.52,34.47,18.39,7.5,31.18
2018-07-30,8.77,33.68,18.42,7.7,31.68
2018-07-31,8.69,33.8,18.39,7.56,31.88
2018-08-01,8.36,33.67,17.91,7.61,31.37
2018-08-02,8.28,32.98,17.57,7.95,30.36
2018-08-03,8.29,31.77,17.6,7.56,29.07
2018-08-06,8.18,31.45,17.4,7.41,29.35
2018-08-07,8.56,32.17,18.13,7.35,30.02
2018-08-08,8.66,30.68,18.2,7.11,29.04
2018-08-09,8.67,31.35,18.29,7.43,30.0
2018-08-10,8.59,32.02,18.12,6.94,29.99
2018-08-13,8.71,32.19,17.9,7.09,29.62
2018-08-14,8.46,31.97,17.9,7.09,29.89
2018-08-15,8.23,31.1,17.33,6.85,29.17
2018-08-16,8.08,31.12,17.27,6.91,28.34
2018-08-17,8.1,30.28,17.21,7.02,28.03
2018-08-20,8.35,29.55,17.55,7.24,28.1
2018-08-21,8.35,30.27,17.66,7.22,28.45
2018-08-22,8.33,30.32,17.69,6.92,28.55
2018-08-23,8.12,30.49,17.56,7.27,28.27
2018-08-24,8.07,31.23,17.44,7.2,28.37
2018-08-27,8.19,31.98,18.02,7.4,29.15
2018-08-28,8.18,32.08,18.19,7.31,28.87
2018-08-29,8.06,32.06,18.37,7.19,28.5
2018-08-30,7.93,31.37,18.46,7.31,28.62
2018-08-31,7.88,31.98,18.49,7.02,29.15
2018-09-03,7.69,31.72,18.28,7.28,29.06
2018-09-04,7.78,31.3,18.5,7.31,29.05
2018-09-05,7.55,31.54,17.96,7.25,28.08
2018-09-06,7.44,30.32,18.02,7.21,28.28
2018-09-07,7.56,30.4,18.89,7.08,28.41
2018-09-10,7.61,30.17,18.58,7.03,28.45
2018-09-11,7.17,30.0,18.2,7.22,28.28
2018-09-12,7.2,29.9,18.16,7.29,28.23
2018-09-13,7.24,29.38,18.35,7.43,28.8
2018-09-14,7.34,29.42,18.51,7.52,29.35
2018-09-17,7.23,29.41,18.13,7.56,29.32
2018-09-18,7.59,30.03,18.58,7.63,29.57
2018-09-19,7.67,30.46,18.92,7.57,29.85
2018-09-20,7.7,30.3,18.68,7.58,29.67
2018-09-21,7.95,30.9,19.87,7.54,31.28
2018-09-25,7.79,30.63,19.6,7.73,31.42
2018-09-26,7.88,31.39,19.9,7.54,31.7
2018-09-27,7.91,31.5,20.28,7.78,31.31
2018-09-28,7.85,31.75,20.39,7.71,33.28
2018-10-08,7.37,30.25,19.94,7.34,30.01
2018-10-09,7.38,30.65,20.48,7.2,30.05
2018-10-10,7.48,30.8,21.05,7.19,29.35
2018-10-11,7.18,29.09,20.05,6.87,28.46
2018-10-12,7.48,29.63,20.6,6.82,28.39
2018-10-15,7.3,29.38,19.99,6.65,27.0
2018-10-16,7.25,28.14,19.99,6.7,27.15
2018-10-17,7.41,28.3,20.26,6.79,27.72
2018-10-18,7.19,27.9,19.05,6.6,27.51
2018-10-19,7.42,28.75,19.59,6.62,28.16
2018-10-22,7.76,30.2,20.19,6.79,28.86
2018-10-23,7.42,29.69,20.0,6.17,27.78
2018-10-24,7.46,29.34,20.27,6.15,27.63
2018-10-25,7.56,29.66,19.91,5.98,27.43
2018-10-26,7.58,29.48,20.37,5.97,27.52
2018-10-29,7.39,27.98,19.71,6.06,27.09
2018-10-30,7.51,28.16,19.48,6.27,27.42
2018-10-31,7.65,28.43,20.04,6.46,27.11
2018-11-01,7.57,28.36,19.94,6.46,27.43
2018-11-02,7.74,29.64,20.22,6.6,28.1
2018-11-05,7.66,29.44,20.11,6.68,27.7
2018-11-06,7.62,29.67,20.39,6.7,27.55
2018-11-07,7.55,29.59,20.41,6.67,27.02
2018-11-08,7.56,29.52,20.78,6.74,27.2
2018-11-09,7.47,29.33,20.48,6.61,27.22
2018-11-12,7.49,29.56,20.0,6.93,27.35
2018-11-13,7.48,29.73,19.82,6.95,27.47
2018-11-14,7.43,29.8,19.51,6.89,26.99
2018-11-15,7.48,30.08,19.78,6.87,26.7
2018-11-16,7.43,30.19,19.71,6.77,26.1
2018-11-19,7.45,30.62,20.02,6.93,25.75
2018-11-20,7.3,29.8,19.57,6.7,25.68
2018-11-21,7.43,29.72,19.51,6.92,25.42
2018-11-22,7.27,30.17,19.25,6.8,25.77
2018-11-23,7.11,29.44,18.93,6.72,25.12
2018-11-26,6.94,29.3,18.84,6.55,24.75
2018-11-27,6.84,29.34,18.44,6.77,24.58
2018-11-28,6.85,29.15,18.76,6.75,24.93
2018-11-29,6.7,29.0,18.53,6.75,24.93
2018-11-30,6.72,29.09,18.76,6.9,24.85
2018-12-03,6.84,29.81,19.09,7.13,25.38
2018-12-04,7.0,29.85,19.21,7.26,25.1
2018-12-05,6.94,29.81,19.2,7.27,24.99
2018-12-06,6.88,28.83,18.67,7.16,24.7
2018-12-07,6.92,29.02,19.08,7.36,24.72
2018-12-10,6.9,28.8,19.08,7.22,24.3
2018-12-11,6.89,29.15,19.08,7.24,24.46
2018-12-12,6.83,29.24,19.24,7.35,24.73
2018-12-13,6.91,30.04,19.36,7.55,24.8
2018-12-14,6.77,30.01,19.34,7.42,24.73
2018-12-17,6.8,29.31,19.47,7.23,25.11
2018-12-18,6.71,28.99,19.08,7.25,25.0
2018-12-19,6.65,27.8,19.1,7.27,25.5
2018-12-20,6.58,26.51,19.33,7.48,25.38
2018-12-21,6.62,26.83,18.91,7.41,25.6
2018-12-24,6.62,27.29,18.9,7.33,25.86
2018-12-25,6.39,27.0,18.43,7.3,26.24
2018-12-26,6.33,27.2,17.94,7.31,26.75
2018-12-27,6.43,27.3,17.95,7.36,27.16
2018-12-28,6.5,27.5,17.96,7.38,26.67
2019-01-02,6.35,26.65,17.77,7.19,25.24
2019-01-03,6.43,26.55,17.69,7.0,24.78
2019-01-04,6.51,26.82,18.07,7.1,24.75
2019-01-07,6.57,26.64,18.05,7.08,24.6
2019-01-08,6.64,26.33,18.42,7.16,24.3
2019-01-09,6.73,26.74,18.47,7.0,25.2
2019-01-10,6.68,26.73,18.46,6.81,24.84
2019-01-11,6.74,26.96,18.51,6.97,25.17
2019-01-14,6.75,26.55,18.62,6.86,24.87
2019-01-15,6.79,26.68,18.67,6.95,25.14
2019-01-16,6.81,26.97,18.6,7.04,25.45
2019-01-17,6.77,26.41,18.45,7.01,25.03
2019-01-18,6.93,26.61,19.01,6.91,25.39
2019-01-21,7.07,27.08,19.55,7.06,26.13
2019-01-22,6.95,26.85,19.26,6.91,25.41
2019-01-23,6.88,26.91,19.44,6.98,25.3
2019-01-24,6.87,26.69,19.39,6.94,25.7
2019-01-25,6.95,26.75,19.47,6.68,26.23
2019-01-28,6.85,26.61,19.82,6.8,26.09
2019-01-29,6.97,26.6,19.92,6.84,26.18
2019-01-30,6.94,26.47,19.63,6.47,26.01
2019-01-31,7.01,26.38,19.83,6.42,26.6
2019-02-01,7.07,26.95,20.01,6.45,26.65
2019-02-11,7.09,27.42,19.99,6.66,26.99
2019-02-12,7.06,28.15,20.09,6.73,26.8
2019-02-13,7.17,28.6,20.11,6.85,27.77
2019-02-14,7.18,28.86,20.02,6.69,27.6
2019-02-15,7.02,28.76,19.65,6.9,26.23
2019-02-18,7.13,29.29,19.99,7.03,27.3
2019-02-19,7.14,28.96,19.74,6.96,27.62
2019-02-20,7.18,28.31,20.02,7.09,28.22
2019-02-21,7.11,28.31,19.86,6.92,28.63
2019-02-22,7.15,28.02,19.61,6.8,28.41
2019-02-25,7.57,29.56,20.6,6.97,29.31
2019-02-26,7.64,29.41,20.81,7.02,28.45
2019-02-27,7.53,29.15,20.61,6.9,28.29
2019-02-28,7.5,29.24,20.44,6.89,28.32
2019-03-01,7.61,29.33,20.83,6.76,28.68
2019-03-04,7.7,29.59,21.07,7.09,28.54
2019-03-05,7.71,30.63,21.1,7.31,28.12
2019-03-06,7.82,30.56,21.22,7.25,27.77
2019-03-07,7.78,30.5,20.91,7.16,27.01
2019-03-08,7.38,30.0,20.02,6.96,26.49
2019-03-11,7.41,30.34,20.11,7.0,26.68
2019-03-12,7.48,30.91,20.12,7.09,26.74
2019-03-13,7.39,30.17,19.97,6.8,25.56
2019-03-14,7.3,30.25,19.85,6.7,25.76
2019-03-15,7.32,30.32,19.98,6.66,25.78
2019-03-18,7.57,31.01,20.7,6.74,26.35
2019-03-19,7.51,30.89,20.51,6.78,26.6
2019-03-20,7.45,30.27,20.5,6.55,26.38
2019-03-21,7.42,30.47,20.68,6.59,26.17
2019-03-22,7.41,30.07,21.13,6.59,26.24
2019-03-25,7.2,29.41,19.97,6.49,25.58
2019-03-26,7.1,29.51,19.42,6.56,25.72
2019-03-27,7.13,29.66,19.46,6.64,25.39
2019-03-28,7.08,29.15,19.23,6.53,25.36
2019-03-29,7.23,29.93,19.61,6.56,26.07
2019-04-01,7.54,30.8,20.15,6.67,26.59
2019-04-02,7.58,30.65,19.97,6.64,26.42
2019-04-03,7.78,30.87,20.16,6.63,27.17
2019-04-04,7.76,30.7,20.48,6.67,28.61
2019-04-08,7.98,31.2,20.53,6.61,28.08
2019-04-09,7.84,32.67,20.22,6.57,28.58
2019-04-10,7.81,33.14,20.24,6.5,29.23
2019-04-11,7.68,32.4,19.88,6.5,28.98
2019-04-12,7.57,31.8,19.92,6.66,28.3
2019-04-15,7.52,31.62,20.01,6.58,28.06
2019-04-16,7.67,33.0,20.4,6.63,28.52
2019-04-17,7.66,32.79,20.28,6.62,30.22
2019-04-18,7.72,32.79,20.2,6.64,29.54
2019-04-19,7.74,32.49,20.49,6.71,29.63
2019-04-22,7.58,32.61,20.01,6.62,28.42
2019-04-23,7.55,32.11,19.89,6.59,28.41
2019-04-24,7.56,32.14,19.9,6.62,28.42
2019-04-25,7.23,31.59,19.54,6.67,27.39
2019-04-26,7.19,30.68,19.37,6.48,26.58
2019-04-29,7.16,31.05,19.52,6.52,26.72
2019-04-30,7.17,31.17,19.69,6.75,27.38
2019-05-06,6.9,29.77,18.89,6.71,26.12
2019-05-07,6.87,29.69,18.9,6.87,26.17
2019-05-08,6.74,29.5,18.54,6.74,25.93
2019-05-09,6.68,29.11,18.36,6.75,25.55
2019-05-10,6.87,29.66,18.61,6.8,26.33
2019-05-13,6.76,29.51,18.54,6.58,25.52
2019-05-14,6.67,29.18,18.41,6.54,25.26
2019-05-15,6.8,29.86,18.6,6.57,25.71
2019-05-16,6.84,30.35,18.77,6.45,26.03
2019-05-17,6.76,29.86,18.47,6.14,25.48
2019-05-20,6.75,29.59,18.28,6.17,24.88
2019-05-21,6.76,29.87,18.43,6.2,24.96
2019-05-22,6.66,29.87,18.38,6.16,24.49
2019-05-23,6.62,29.48,18.21,6.09,23.34
2019-05-24,6.66,29.5,18.35,6.17,23.47
2019-05-27,6.75,29.66,18.44,6.26,23.72
2019-05-28,7.0,29.86,18.58,6.28,24.78
2019-05-29,6.94,29.59,18.48,6.34,24.29
2019-05-30,6.92,29.35,18.66,6.36,24.05
2019-05-31,6.3,29.22,18.39,6.5,23.95
2019-06-03,6.38,29.34,18.56,6.59,24.4
2019-06-04,6.35,28.13,18.7,6.59,24.67
2019-06-05,6.34,28.1,18.91,6.6,24.52
2019-06-06,6.3,28.02,18.86,6.66,24.56
2019-06-10,6.35,27.7,19.15,6.59,24.28
2019-06-11,6.47,28.5,19.35,6.61,24.55
2019-06-12,6.4,28.48,19.45,6.64,24.74
2019-06-13,6.39,28.44,19.51,6.65,24.58
2019-06-14,6.38,28.41,19.7,6.64,24.3
2019-06-17,6.42,28.67,20.08,6.69,24.36
2019-06-18,6.42,28.42,20.13,6.63,24.1
2019-06-19,6.46,28.62,20.01,6.65,24.42
2019-06-20,6.51,28.95,20.12,6.69,24.99
2019-06-21,6.54,28.94,20.03,6.66,25.26
2019-06-24,6.66,28.86,20.35,6.53,25.4
2019-06-25,6.57,28.51,20.31,6.42,25.28
2019-06-26,6.52,28.91,20.32,6.47,25.6
2019-06-27,6.54,29.11,20.36,6.37,25.54
2019-06-28,6.5,29.0,20.38,6.23,25.5
2019-07-01,6.6,29.65,20.4,6.26,26.05
2019-07-02,6.64,30.88,20.62,6.25,26.78
2019-07-03,6.61,30.92,20.67,6.32,26.8
2019-07-04,6.61,30.96,20.53,6.3,26.85
2019-07-05,6.59,31.03,20.61,6.32,26.97
2019-07-08,6.44,30.16,19.07,6.24,26.19
2019-07-09,6.42,30.24,18.99,6.28,26.23
2019-07-10,6.35,29.97,19.07,6.25,25.69
2019-07-11,6.34,29.95,19.03,6.21,25.53
2019-07-12,6.33,30.02,19.03,6.28,23.9
2019-07-15,6.25,29.79,18.9,6.29,24.19
2019-07-16,6.25,29.32,19.07,6.37,23.96
2019-07-17,6.25,29.11,18.98,6.27,24.09
2019-07-18,6.22,28.96,18.96,6.26,23.66
2019-07-19,6.27,28.87,19.23,6.34,23.71
2019-07-22,6.19,28.3,19.11,6.29,23.39
2019-07-23,6.26,28.31,18.96,6.43,23.89
2019-07-24,6.31,28.64,19.1,6.42,24.69
2019-07-25,6.29,28.59,19.19,6.4,24.35
2019-07-26,6.29,28.33,19.13,6.42,24.35
2019-07-29,6.32,27.77,19.02,6.54,24.67
2019-07-30,6.38,28.29,19.28,6.51,24.9
2019-07-31,6.38,28.36,19.21,6.52,24.84
2019-08-01,6.26,28.04,19.06,6.77,24.59
2019-08-02,6.18,27.7,18.63,6.81,24.18
2019-08-05,6.04,27.53,18.14,6.73,23.61
2019-08-06,5.91,27.16,17.95,6.8,23.82
2019-08-07,5.86,27.51,18.0,6.74,23.62
2019-08-08,5.9,27.47,18.12,6.71,24.38
2019-08-09,5.89,27.36,18.06,6.56,24.38
2019-08-12,5.92,27.4,18.41,6.65,24.31
2019-08-13,5.87,27.09,18.3,6.83,23.93
2019-08-14,5.89,27.5,18.4,6.86,24.4
2019-08-15,5.85,27.61,18.5,6.93,24.65
2019-08-16,5.84,27.78,18.54,6.83,24.54
2019-08-19,5.93,28.2,18.89,6.83,24.5
2019-08-20,5.92,28.17,18.88,6.79,24.26
2019-08-21,5.91,28.09,18.95,6.73,24.09
2019-08-22,5.89,28.1,18.59,6.7,24.27
2019-08-23,5.92,28.75,18.78,6.66,24.6
2019-08-26,5.85,28.79,18.69,6.46,24.03
2019-08-27,5.95,28.63,18.8,6.47,24.96
2019-08-28,5.89,28.26,18.83,6.33,25.08
2019-08-29,5.86,28.28,18.55,6.29,24.72
2019-08-30,5.81,27.8,18.69,6.3,25.08
2019-09-02,5.87,27.87,19.37,6.39,24.94
2019-09-03,5.89,27.85,19.38,6.32,24.61
2019-09-04,6.1,27.88,19.59,6.37,24.63
2019-09-05,6.07,28.23,19.42,6.41,25.26
2019-09-06,6.06,28.19,19.64,6.36,25.94
2019-09-09,6.11,28.26,19.6,6.39,26.08
2019-09-10,6.11,28.51,19.56,6.37,25.5
2019-09-11,6.14,28.19,19.53,6.36,25.34
2019-09-12,6.25,28.3,19.61,6.37,25.14
2019-09-16,6.3,28.0,19.72,6.34,25.01
2019-09-17,6.21,27.69,19.72,6.22,24.7
2019-09-18,6.14,27.68,19.55,6.22,24.77
2019-09-19,6.18,27.59,19.48,6.15,24.78
2019-09-20,6.17,27.56,19.6,6.1,24.66
2019-09-23,6.12,27.39,19.22,6.06,24.27
2019-09-24,6.07,27.72,19.4,6.06,24.2
2019-09-25,6.01,27.12,19.2,5.97,23.67
2019-09-26,6.03,27.0,19.3,5.96,23.8
2019-09-27,5.92,27.02,18.69,5.9,23.7
2019-09-30,5.91,26.9,18.78,5.8,23.78
2019-10-08,5.9,26.93,18.65,5.82,23.7
2019-10-09,5.89,26.7,18.9,5.8,23.44
2019-10-10,5.92,26.8,18.81,5.86,23.91
2019-10-11,5.96,26.81,18.92,5.86,23.93
2019-10-14,6.0,27.39,18.94,5.85,24.39
2019-10-15,5.97,27.46,18.68,5.84,23.93
2019-10-16,5.95,27.19,18.6,5.82,24.15
2019-10-17,5.93,27.24,18.38,5.88,23.78
2019-10-18,5.88,27.05,18.18,5.79,23.45
2019-10-21,5.82,26.85,18.27,5.77,23.16
2019-10-22,5.82,26.93,18.12,5.75,23.26
2019-10-23,5.77,26.78,18.04,6.03,23.2
2019-10-24,5.81,26.74,18.3,5.85,23.19
2019-10-25,5.82,27.22,18.13,5.79,23.07
2019-10-28,5.92,27.61,18.26,5.81,23.68
2019-10-29,5.89,27.59,18.41,5.77,23.52
2019-10-30,5.85,27.36,18.43,5.71,23.3
2019-10-31,5.8,27.5,18.44,5.7,23.5
2019-11-01,5.8,27.12,18.38,5.72,23.85
2019-11-04,5.72,27.27,18.26,5.72,23.86
2019-11-05,5.7,27.46,18.3,5.71,23.79
2019-11-06,5.7,27.37,18.18,5.78,23.72
2019-11-07,5.67,27.65,18.06,5.81,24.1
2019-11-08,5.61,27.34,18.04,5.74,23.75
2019-11-11,5.48,26.87,17.63,5.67,23.4
2019-11-12,5.43,27.01,17.67,5.67,23.28
2019-11-13,5.35,27.0,17.41,5.62,23.07
